family,instance_name,parity,param_n,param_p,param_seed,param_trial,param_rows,param_cols,param_n_left,param_n_right,param_remove_fraction,n,m,density,lp_value,lp_runtime_sec,lp_num_fractional,lp_num_at_half,lp_is_integral,rounded_size,rounded_feasible,rounded_vs_lp_ratio,rounding_runtime_sec,greedy_size,greedy_feasible,greedy_runtime_sec,greedy_vs_lp_ratio,ilp_value,ilp_runtime_sec,rounded_vs_ilp_ratio,greedy_vs_ilp_ratio,integrality_gap
complete,complete_n24,,24.0,,,,,,,,,24,276,1.0,12.0,0.02065679000224918,24,24,False,24,True,2.0,1.1401018127799034e-05,23,True,0.0008219670271500945,1.9166666666666667,23.0,0.3542986160609871,1.0434782608695652,1.0,1.9166666666666667
cycle,cycle_n5_odd,odd,5.0,,,,,,,,,5,5,0.5,2.5,0.026391727034933865,5,5,False,5,True,2.0,9.2389527708292e-06,3,True,0.0001538529759272933,1.2,3.0,0.019718275987543166,1.6666666666666667,1.0,1.2
cycle,cycle_n6_even,even,6.0,,,,,,,,,6,6,0.4,3.0,0.01883486402221024,0,0,True,3,True,1.0,4.739966243505478e-06,3,True,0.00015188008546829224,1.0,3.0,0.017947290907613933,1.0,1.0,1.0
cycle,cycle_n7_odd,odd,7.0,,,,,,,,,7,7,0.3333333333333333,3.5,0.01789961103349924,7,7,False,7,True,2.0,1.0619056411087513e-05,4,True,0.00026471400633454323,1.1428571428571428,4.0,0.01819401909597218,1.75,1.0,1.1428571428571428
cycle,cycle_n8_even,even,8.0,,,,,,,,,8,8,0.2857142857142857,4.0,0.01645022409502417,0,0,True,4,True,1.0,5.605979822576046e-06,4,True,0.00017818505875766277,1.0,4.0,0.021353866904973984,1.0,1.0,1.0
cycle,cycle_n9_odd,odd,9.0,,,,,,,,,9,9,0.25,4.5,0.016337882028892636,9,9,False,9,True,2.0,6.257090717554092e-06,5,True,0.00016805995255708694,1.1111111111111112,5.0,0.017798476037569344,1.8,1.0,1.1111111111111112
cycle,cycle_n10_even,even,10.0,,,,,,,,,10,10,0.2222222222222222,5.0,0.016088844975456595,0,0,True,5,True,1.0,8.294940926134586e-06,5,True,0.00023442902602255344,1.0,5.0,0.018779572914354503,1.0,1.0,1.0
cycle,cycle_n11_odd,odd,11.0,,,,,,,,,11,11,0.2,5.5,0.01906985603272915,11,11,False,11,True,2.0,6.862916052341461e-06,6,True,0.00019498297479003668,1.0909090909090908,6.0,0.018491961993277073,1.8333333333333333,1.0,1.0909090909090908
cycle,cycle_n15_odd,odd,15.0,,,,,,,,,15,15,0.14285714285714285,7.5,0.018206453998573124,15,15,False,15,True,2.0,8.912989869713783e-06,8,True,0.0003063949989154935,1.0666666666666667,8.0,0.019564063055440784,1.875,1.0,1.0666666666666667
grid,grid_3x3,,,,,,3.0,3.0,,,,9,12,0.3333333333333333,4.0,0.01785019796807319,0,0,True,4,True,1.0,4.8420624807477e-06,5,True,0.00017863698303699493,1.25,4.0,0.017042845021933317,1.0,1.25,1.0
grid,grid_4x4,,,,,,4.0,4.0,,,,16,24,0.2,8.0,0.016043966985307634,0,0,True,8,True,1.0,8.21694266051054e-06,8,True,0.00031766307074576616,1.0,8.0,0.016177546000108123,1.0,1.0,1.0
grid,grid_4x6,,,,,,4.0,6.0,,,,24,38,0.13768115942028986,12.0,0.017934974981471896,0,0,True,12,True,1.0,1.0141986422240734e-05,12,True,0.0004355929559096694,1.0,12.0,0.019551369012333453,1.0,1.0,1.0
grid,grid_5x5,,,,,,5.0,5.0,,,,25,40,0.13333333333333333,12.0,0.017313224030658603,0,0,True,12,True,1.0,7.533002644777298e-06,13,True,0.00040328199975192547,1.0833333333333333,12.0,0.017862464068457484,1.0,1.0833333333333333,1.0
near_clique,near_clique_n12_miss0.2_t0,,12.0,,3032.0,0.0,,,,,0.2,12,53,0.803030303030303,6.0,0.014485805062577128,12,12,False,12,True,2.0,5.970941856503487e-06,10,True,0.00028612196911126375,1.6666666666666667,10.0,0.02676470798905939,1.2,1.0,1.6666666666666667
near_clique,near_clique_n12_miss0.2_t1,,12.0,,3033.0,1.0,,,,,0.2,12,53,0.803030303030303,6.0,0.01401810604147613,12,12,False,12,True,2.0,4.99701127409935e-06,9,True,0.0002594870747998357,1.5,9.0,0.022026822087354958,1.3333333333333333,1.0,1.5
near_clique,near_clique_n12_miss0.15_t0,,12.0,,3027.0,0.0,,,,,0.15,12,57,0.8636363636363636,6.0,0.014008136000484228,12,12,False,12,True,2.0,5.949987098574638e-06,9,True,0.00031532300636172295,1.5,9.0,0.02686662506312132,1.3333333333333333,1.0,1.5
near_clique,near_clique_n12_miss0.15_t1,,12.0,,3028.0,1.0,,,,,0.15,12,57,0.8636363636363636,6.0,0.014689884963445365,12,12,False,12,True,2.0,7.108086720108986e-06,10,True,0.0003332860069349408,1.6666666666666667,10.0,0.026579792029224336,1.2,1.0,1.6666666666666667
near_clique,near_clique_n12_miss0.1_t0,,12.0,,3022.0,0.0,,,,,0.1,12,60,0.9090909090909091,6.0,0.018842944991774857,12,12,False,12,True,2.0,5.103996954858303e-06,10,True,0.0003909680526703596,1.6666666666666667,10.0,0.03556156309787184,1.2,1.0,1.6666666666666667
near_clique,near_clique_n12_miss0.1_t1,,12.0,,3023.0,1.0,,,,,0.1,12,60,0.9090909090909091,6.0,0.02278007403947413,12,12,False,12,True,2.0,4.786066710948944e-06,10,True,0.00030531396623700857,1.6666666666666667,10.0,0.02806160703767091,1.2,1.0,1.6666666666666667
near_clique,near_clique_n16_miss0.2_t0,,16.0,,3036.0,0.0,,,,,0.2,16,96,0.8,8.0,0.01416700694244355,16,16,False,16,True,2.0,8.37491825222969e-06,13,True,0.00037925003562122583,1.625,13.0,0.032487399061210454,1.2307692307692308,1.0,1.625
near_clique,near_clique_n16_miss0.2_t1,,16.0,,3037.0,1.0,,,,,0.2,16,96,0.8,8.0,0.01416432298719883,16,16,False,16,True,2.0,6.693997420370579e-06,12,True,0.00037967099342495203,1.5,12.0,0.03325265797320753,1.3333333333333333,1.0,1.5
